"Nome do projeto","Code Sprint"
"Intervalo de datas","01/12/2026 00:00 - 01/14/2026 23:59"


"Novos usuários","Sim"
"URL visitada corresponde ao regex","^https://www\.codesprint\.com\.br/(\?.*)?$"

"Total de sessões","76"

"Novos usuários","Sim"
"URL visitada corresponde ao regex","^https://www\.codesprint\.com\.br/(\?.*)?$"

"Data","Horário","Duração da sessão","URL de entrada","URL de saída","Referenciador:","ID de usuário de clareza","Navegador","Dispositivo","OS","País/Região","Contagem de páginas","Cliques na sessão","Favorito","Link de gravação"
"01/14/2026","12:14","00:06","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238219251220008&utm_content=120238219253760008&utm_term=120238219251880008&utm_campaign=120238219251220008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassBfvDUDhzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaexRLOI-k3-ccqgZbjWTGw9J_aiDNqz6uvgnDVssOSVMFeFuTTEAmTj-jYmPA_aem_ZzYz8U9jWMdKdMrBfhUzvg","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238219251220008&utm_content=120238219253760008&utm_term=120238219251880008&utm_campaign=120238219251220008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassBfvDUDhzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaexRLOI-k3-ccqgZbjWTGw9J_aiDNqz6uvgnDVssOSVMFeFuTTEAmTj-jYmPA_aem_ZzYz8U9jWMdKdMrBfhUzvg","http://instagram.com/","1soc362","InstagramApp","Mobile","Android","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/v144xksgk2/1soc362/1bip113/?ss=1768403659000&sd=6"
"01/14/2026","12:11","00:07","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238210664700008&utm_content=120238210665180008&utm_term=120238210664950008&utm_campaign=120238210664700008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassA_u0H-hzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAac9IUMB519oNFNE5lWkGsUmjA8RgJx6ElWcrJTSwvgZylmkC-kHHQp7MxGROw_aem_QVMeYqJKUzXokfjrlWv2SA","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238210664700008&utm_content=120238210665180008&utm_term=120238210664950008&utm_campaign=120238210664700008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassA_u0H-hzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAac9IUMB519oNFNE5lWkGsUmjA8RgJx6ElWcrJTSwvgZylmkC-kHHQp7MxGROw_aem_QVMeYqJKUzXokfjrlWv2SA","http://instagram.com/","1kv4q9d","InstagramApp","Mobile","Android","Brazil","2","0","FALSE","https://clarity.microsoft.com/player/v144xksgk2/1kv4q9d/bs0yl/?ss=1768403493000&sd=7"
"01/14/2026","12:09","00:06","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238219537360008&utm_content=120238219538330008&utm_term=120238219537530008&utm_campaign=120238219537360008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassBgxEUchzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafbSIKgkB-yUmG_o822PNfY02TUaE5XGgypKaiyS3d_FCKTt84l4WR2Vk6wYg_aem_r2cLhXtrwb6mPGSFFVlLHw","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238219537360008&utm_content=120238219538330008&utm_term=120238219537530008&utm_campaign=120238219537360008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassBgxEUchzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafbSIKgkB-yUmG_o822PNfY02TUaE5XGgypKaiyS3d_FCKTt84l4WR2Vk6wYg_aem_r2cLhXtrwb6mPGSFFVlLHw","http://instagram.com/","1o62k5d","InstagramApp","Mobile","Android","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/v144xksgk2/1o62k5d/145dqcd/?ss=1768403383000&sd=6"
"01/14/2026","12:04","00:03","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238219378280008&utm_content=120238219379850008&utm_term=120238219378430008&utm_campaign=120238219378280008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassBgNyBMhzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeBQYeC7kIteN6gsBp0LKNxmxN5vH331ACp_KAkPsp_8W-wGmsVHC6JvtMfJw_aem_j5Zk9cTgGfKeCw9JH2dNeQ","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238219378280008&utm_content=120238219379850008&utm_term=120238219378430008&utm_campaign=120238219378280008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassBgNyBMhzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeBQYeC7kIteN6gsBp0LKNxmxN5vH331ACp_KAkPsp_8W-wGmsVHC6JvtMfJw_aem_j5Zk9cTgGfKeCw9JH2dNeQ","http://instagram.com/","3bm24b","InstagramApp","Mobile","Android","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/v144xksgk2/3bm24b/1guciny/?ss=1768403077000&sd=3"
"01/14/2026","12:02","00:09","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238210664700008&utm_content=120238210665180008&utm_term=120238210664950008&utm_campaign=120238210664700008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassA_u0H-hzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAac_qLERAXQGQWKZ8F3Wg8cj2VEnAChf9odZTewxRjUJg9AfYlyPEwriFEV5Iw_aem_-KNwaTYoaYCSpESYYNG1Zg","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238210664700008&utm_content=120238210665180008&utm_term=120238210664950008&utm_campaign=120238210664700008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassA_u0H-hzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAac_qLERAXQGQWKZ8F3Wg8cj2VEnAChf9odZTewxRjUJg9AfYlyPEwriFEV5Iw_aem_-KNwaTYoaYCSpESYYNG1Zg","http://instagram.com/","1gujonk","InstagramApp","Mobile","Android","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/v144xksgk2/1gujonk/offh3i/?ss=1768402973000&sd=9"
"01/14/2026","12:01","00:01","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238219251220008&utm_content=120238219253760008&utm_term=120238219251880008&utm_campaign=120238219251220008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassBfvDUDhzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafy2OKYfNBW65kdllLSgLQYz2o-5iLAN6OtKAK3Czi5OtL9mXTqGy16g-0kyw_aem_UAFT5MTeZDGuCSyaNeTFqQ","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238219251220008&utm_content=120238219253760008&utm_term=120238219251880008&utm_campaign=120238219251220008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassBfvDUDhzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafy2OKYfNBW65kdllLSgLQYz2o-5iLAN6OtKAK3Czi5OtL9mXTqGy16g-0kyw_aem_UAFT5MTeZDGuCSyaNeTFqQ","http://instagram.com/","19jpoqg","InstagramApp","Mobile","Android","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/v144xksgk2/19jpoqg/10cko8r/?ss=1768402879000&sd=1"
"01/14/2026","11:58","00:03","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238219378280008&utm_content=120238219379850008&utm_term=120238219378430008&utm_campaign=120238219378280008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassBgNyBMhzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafikkzfCVY0XgaeIlemX8bLOHywQVejkBiqK0Oi91WZf2zF_7e-Plqs7TKybQ_aem_MaYaSAyLbupfuA7PnhWpdg","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238219378280008&utm_content=120238219379850008&utm_term=120238219378430008&utm_campaign=120238219378280008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassBgNyBMhzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafikkzfCVY0XgaeIlemX8bLOHywQVejkBiqK0Oi91WZf2zF_7e-Plqs7TKybQ_aem_MaYaSAyLbupfuA7PnhWpdg","http://instagram.com/","1wdukoj","InstagramApp","Mobile","Android","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/v144xksgk2/1wdukoj/1gr5yjx/?ss=1768402703000&sd=3"
"01/14/2026","11:53","00:06","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238210664700008&utm_content=120238210665180008&utm_term=120238210664950008&utm_campaign=120238210664700008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassA_u0H-hzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeWYXn6R0gFZR9oPSf4iTafnJlo-w2I-VyW3Q0ggGHBrILxI7LQkWuaRW-fDQ_aem_GqTXCTdky2GsCn8CqgPrnQ","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238210664700008&utm_content=120238210665180008&utm_term=120238210664950008&utm_campaign=120238210664700008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassA_u0H-hzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeWYXn6R0gFZR9oPSf4iTafnJlo-w2I-VyW3Q0ggGHBrILxI7LQkWuaRW-fDQ_aem_GqTXCTdky2GsCn8CqgPrnQ","http://instagram.com/","1sta1pj","InstagramApp","Mobile","Android","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/v144xksgk2/1sta1pj/8g9akv/?ss=1768402423000&sd=6"
"01/14/2026","11:46","00:01","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238219537360008&utm_content=120238219538330008&utm_term=120238219537530008&utm_campaign=120238219537360008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassBgxEUchzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeaFLkz7jmyvc5QSA9ZNQ1Z36j1jEF0ilmjLtD8o8Uh5LfWiAZA_UYJIxSyUg_aem_pIKnidQuk_fsB9XRnI_1ig","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238219537360008&utm_content=120238219538330008&utm_term=120238219537530008&utm_campaign=120238219537360008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassBgxEUchzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeaFLkz7jmyvc5QSA9ZNQ1Z36j1jEF0ilmjLtD8o8Uh5LfWiAZA_UYJIxSyUg_aem_pIKnidQuk_fsB9XRnI_1ig","http://instagram.com/","ffehg4","InstagramApp","Mobile","Android","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/v144xksgk2/ffehg4/x066b7/?ss=1768401974000&sd=1"
"01/14/2026","11:43","00:07","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238210664700008&utm_content=120238210665180008&utm_term=120238210664950008&utm_campaign=120238210664700008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassA_u0H-hzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeqRd2s9-PczyDBEyySkS70GVAVTLbZSogJqjrqpxb2lNRQZYF6KClU5G4vhg_aem_aeQ6WcY2NhyYhOf2_FufKQ","https://www.codesprint.com.br/?utm_medium=paid&utm_source=ig&utm_id=120238210664700008&utm_content=120238210665180008&utm_term=120238210664950008&utm_campaign=120238210664700008&fbclid=PAZXh0bgNhZW0BMABhZGlkAassA_u0H-hzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeqRd2s9-PczyDBEyySkS70GVAVTLbZSogJqjrqpxb2lNRQZYF6KClU5G4vhg_aem_aeQ6WcY2NhyYhOf2_FufKQ","http://instagram.com/","1g9emwc","InstagramApp","Mobile","Android","Brazil","2","0","FALSE","https://clarity.microsoft.com/player/v144xksgk2/1g9emwc/12eftrc/?ss=1768401816000&sd=7"
